inventory_id,product_id,stock_remaining,ware_house_id,restock_date
229,294,153,2,1/31/2025
230,397,471,8,1/6/2025
231,246,487,3,3/25/2024
232,259,332,8,10/10/2024
233,496,373,1,1/16/2025
234,131,147,4,2/10/2025
235,280,315,3,3/28/2024
236,108,117,7,12/29/2024
237,324,400,3,4/14/2024
238,329,415,4,5/22/2024
239,132,455,7,7/5/2024
240,114,187,4,11/18/2024
241,197,170,7,5/27/2024
242,78,385,3,9/23/2024
243,49,191,3,11/4/2024
244,109,131,9,7/29/2024
245,424,236,7,8/30/2024
246,196,85,8,8/30/2024
247,23,377,6,7/13/2024
248,53,436,5,8/8/2024
249,135,54,3,8/20/2024
250,491,459,5,2/18/2024
251,350,305,6,8/29/2024
252,336,428,4,7/19/2024
253,6,51,1,12/2/2024
254,478,240,8,3/28/2024
255,95,117,4,2/22/2024
256,72,453,8,7/24/2024
257,476,208,6,6/21/2024
258,236,171,7,5/2/2024
259,64,214,5,4/8/2024
260,337,310,7,10/27/2024
261,373,441,7,12/27/2024
262,260,133,8,9/11/2024
263,414,480,8,10/2/2024
264,215,107,9,5/6/2024
265,382,174,2,8/9/2024
266,253,223,7,11/6/2024
267,280,327,8,8/8/2024
268,309,186,6,10/29/2024
269,167,165,7,7/2/2024
270,447,320,5,8/13/2024
271,440,466,9,10/21/2024
272,45,407,8,12/27/2024
273,98,338,10,11/5/2024
274,469,488,9,7/30/2024
275,383,259,9,9/20/2024
276,291,200,7,8/13/2024
277,202,11,4,10/25/2024
278,495,208,4,7/17/2024
279,231,1,4,3/14/2024
280,494,62,9,5/14/2024
281,495,369,3,9/7/2024
282,349,241,1,10/9/2024
283,113,43,2,10/16/2024
284,368,214,4,9/6/2024
285,428,433,5,4/28/2024
286,108,200,8,7/30/2024
287,90,425,5,2/5/2025
288,117,470,2,10/17/2024
289,333,434,5,1/28/2025
290,319,198,7,5/19/2024
291,3,112,1,7/12/2024
292,275,66,7,7/7/2024
293,411,438,7,9/17/2024
294,415,354,3,7/29/2024
295,458,102,7,7/5/2024
296,300,407,8,2/12/2024
297,269,13,7,6/7/2024
298,116,27,8,3/22/2024
299,358,353,1,10/11/2024
300,226,185,3,7/22/2024
301,30,77,9,8/29/2024
302,209,343,2,11/12/2024
303,28,197,3,4/22/2024
304,470,349,8,12/2/2024
305,4,465,4,4/6/2024
306,94,450,5,12/27/2024
307,322,93,1,6/17/2024
308,325,285,6,3/25/2024
309,231,406,10,7/1/2024
310,83,24,7,4/27/2024
311,257,384,5,11/25/2024
312,26,58,8,7/24/2024
313,19,153,3,9/17/2024
314,153,237,5,4/26/2024
315,287,30,7,10/21/2024
316,171,192,1,3/18/2024
317,320,64,9,10/16/2024
318,9,260,1,6/28/2024
319,271,192,9,5/6/2024
320,71,381,3,7/11/2024
321,84,244,8,2/25/2024
322,497,352,10,7/18/2024
323,293,423,10,12/5/2024
324,467,311,5,9/26/2024
325,217,12,4,5/12/2024
326,93,129,7,3/17/2024
327,375,292,9,3/17/2024
328,417,198,3,1/2/2025
329,140,426,2,4/5/2024
330,55,1,5,3/26/2024
331,451,4,3,7/1/2024
332,292,424,5,4/25/2024
333,47,385,2,1/28/2025
334,123,123,4,9/19/2024
335,100,243,1,1/28/2025
336,253,207,6,2/4/2025
337,477,145,8,4/27/2024
338,17,346,3,5/12/2024
339,104,104,6,11/9/2024
340,332,439,6,4/3/2024
341,140,194,9,9/10/2024
342,151,210,4,3/21/2024
343,43,45,2,12/24/2024
344,493,361,7,12/8/2024
345,204,191,10,4/14/2024
346,143,159,1,1/22/2025
347,467,84,3,3/14/2024
348,478,428,3,7/31/2024
349,424,354,6,11/14/2024
350,295,193,2,3/26/2024
351,231,343,6,11/12/2024
352,359,287,4,7/9/2024
353,23,475,3,7/19/2024
354,280,18,3,7/24/2024
355,2,397,6,1/4/2025
356,133,462,6,8/11/2024
357,492,274,3,11/4/2024
358,179,160,1,9/3/2024
359,2,111,4,3/6/2024
360,75,309,9,9/1/2024
361,187,108,10,10/15/2024
362,386,404,3,8/19/2024
363,146,296,7,8/11/2024
364,196,467,3,11/21/2024
365,261,141,9,10/30/2024
366,180,360,10,6/8/2024
367,266,192,5,2/22/2024
368,198,67,1,6/2/2024
369,281,390,4,12/13/2024
370,308,128,9,8/11/2024
371,217,431,8,6/16/2024
372,219,306,6,3/14/2024
373,200,435,10,2/17/2024
374,9,400,6,6/29/2024
375,207,491,9,11/20/2024
376,55,75,9,1/26/2025
377,426,155,7,8/30/2024
378,285,67,3,1/26/2025
379,322,183,9,2/21/2024
380,292,223,3,4/16/2024
381,232,3,8,8/30/2024
382,80,257,1,4/4/2024
383,125,353,2,4/24/2024
384,125,127,3,7/16/2024
385,151,46,9,4/2/2024
386,251,340,8,11/26/2024
387,136,262,6,9/12/2024
388,278,228,10,7/27/2024
389,395,427,4,2/6/2025
390,338,489,5,11/7/2024
391,469,366,3,5/2/2024
392,13,15,7,1/9/2025
393,30,476,7,4/18/2024
394,25,301,2,10/24/2024
395,248,454,3,3/2/2024
396,186,198,4,12/14/2024
397,341,88,2,11/20/2024
398,369,45,8,2/14/2024
399,31,120,5,1/6/2025
400,424,25,2,5/12/2024
401,56,65,3,2/18/2024
402,377,58,4,2/12/2024
403,254,211,7,9/6/2024
404,12,2,5,7/5/2024
405,100,364,6,12/6/2024
406,458,445,6,8/17/2024
407,86,85,2,10/8/2024
408,328,159,4,4/23/2024
409,457,260,1,1/29/2025
410,32,495,5,6/24/2024
411,213,214,5,2/10/2025
412,304,363,5,9/2/2024
413,177,92,8,5/14/2024
414,97,195,10,1/26/2025
415,154,242,2,11/10/2024
416,159,279,2,10/31/2024
417,369,483,10,11/14/2024
418,214,92,8,3/5/2024
419,91,190,8,3/13/2024
420,466,361,1,6/28/2024
421,239,217,5,6/8/2024
422,95,278,1,6/23/2024
423,13,228,6,12/30/2024
424,450,66,5,3/16/2024
425,306,258,7,7/4/2024
426,152,49,2,2/2/2025
427,235,155,2,7/18/2024
428,409,432,3,7/29/2024
429,91,403,9,10/31/2024
430,159,287,10,1/23/2025
431,290,410,7,2/15/2024
432,45,354,7,2/8/2025
433,354,62,2,5/2/2024
434,144,500,2,5/16/2024
435,111,40,10,2/22/2024
436,90,226,10,9/1/2024
437,346,221,3,1/12/2025
438,339,148,8,10/9/2024
439,168,160,8,11/27/2024
440,88,438,10,7/10/2024
441,115,440,6,7/10/2024
442,249,227,6,2/23/2024
443,496,240,6,9/6/2024
444,230,151,9,11/19/2024
445,114,147,2,10/31/2024
446,134,153,1,11/12/2024
447,430,346,6,2/5/2025
448,428,181,10,4/25/2024
449,209,280,8,10/18/2024
450,335,272,8,9/4/2024
451,270,314,5,7/10/2024
452,37,463,7,2/13/2024
453,270,29,10,9/17/2024
454,414,59,6,1/2/2025
455,10,265,4,5/2/2024
456,268,68,10,12/3/2024
457,153,303,8,6/30/2024
458,289,126,9,10/29/2024
459,282,106,4,11/17/2024
460,128,160,10,4/13/2024
461,147,229,8,3/31/2024
462,479,257,7,4/12/2024
463,485,479,8,5/20/2024
464,140,291,7,5/8/2024
465,268,375,3,5/3/2024
466,435,447,1,9/4/2024
467,76,28,5,4/26/2024
468,94,263,4,8/14/2024
469,41,482,7,5/14/2024
470,467,484,7,2/28/2024
471,334,180,6,5/27/2024
472,69,319,9,5/29/2024
473,434,354,8,1/28/2025
474,55,18,5,2/5/2025
475,145,27,9,1/14/2025
476,201,499,8,5/19/2024
477,438,120,1,2/29/2024
478,360,128,9,1/30/2025
479,212,44,5,8/3/2024
480,50,420,9,4/11/2024
481,351,259,4,3/12/2024
482,443,424,3,1/19/2025
483,208,370,7,4/28/2024
484,316,38,7,8/15/2024
485,197,284,6,9/25/2024
486,371,149,5,9/6/2024
487,361,458,1,1/17/2025
488,258,319,4,11/26/2024
489,163,416,5,8/31/2024
490,113,295,6,7/20/2024
491,309,387,2,6/23/2024
492,447,143,3,2/20/2024
493,448,72,7,12/24/2024
494,227,123,2,6/17/2024
495,250,194,9,3/25/2024
496,456,232,9,2/10/2025
497,309,466,3,11/8/2024
498,373,424,4,10/27/2024
499,400,259,1,1/16/2025
500,84,478,2,4/16/2024
