shipping_id,order_id,delivery_status,shipping_date,return_date
81,1272,In Transit,3/27/2024,11/14/2024
82,703,In Transit,2/19/2024,4/12/2024
83,919,Returned,5/19/2024,11/13/2024
84,592,Returned,3/27/2024,1/4/2025
85,1539,Delivered,8/10/2024,3/25/2024
86,711,Returned,9/9/2024,8/5/2024
87,1585,Returned,11/1/2024,7/13/2024
88,648,In Transit,3/29/2024,4/12/2024
89,1205,Delivered,8/7/2024,6/1/2024
90,262,Delayed,8/1/2024,7/1/2024
91,388,In Transit,8/16/2024,3/28/2024
92,871,Returned,7/26/2024,5/29/2024
93,316,Delivered,9/15/2024,11/26/2024
94,1651,In Transit,9/14/2024,11/7/2024
95,156,Delivered,10/7/2024,3/20/2024
96,1149,Delayed,9/3/2024,3/11/2024
97,1170,In Transit,2/4/2025,10/10/2024
98,200,In Transit,4/18/2024,2/21/2024
99,605,Delayed,1/27/2025,9/21/2024
100,1940,Returned,10/20/2024,3/1/2024
101,349,Returned,12/22/2024,1/11/2025
102,330,Delayed,7/21/2024,11/10/2024
103,1207,In Transit,12/28/2024,
104,1287,Returned,8/25/2024,3/30/2024
105,1614,Returned,10/18/2024,5/5/2024
106,1511,Returned,3/26/2024,8/5/2024
107,1483,Delivered,11/4/2024,
108,32,Delayed,6/27/2024,3/5/2024
109,1920,Delivered,7/16/2024,2/17/2024
110,1827,Delivered,12/1/2024,2/7/2025
111,1037,Delivered,9/25/2024,3/14/2024
112,679,Delayed,9/4/2024,
113,470,In Transit,2/9/2025,3/22/2024
114,876,Delayed,7/9/2024,8/30/2024
115,1929,Returned,1/2/2025,9/4/2024
116,1012,Delayed,7/11/2024,4/3/2024
117,312,Delayed,7/29/2024,
118,1267,In Transit,1/6/2025,12/17/2024
119,744,Delivered,1/8/2025,5/16/2024
120,1867,Returned,7/11/2024,1/22/2025
121,1265,Returned,4/30/2024,3/2/2024
122,617,Delivered,5/4/2024,2/28/2024
123,1109,In Transit,9/19/2024,
124,60,Delivered,1/28/2025,1/27/2025
125,1797,Delivered,6/11/2024,2/7/2025
126,1291,In Transit,2/25/2024,10/27/2024
127,883,In Transit,9/8/2024,12/26/2024
128,1174,Delivered,11/19/2024,3/22/2024
129,100,Delivered,1/31/2025,12/12/2024
130,1931,Returned,10/27/2024,3/18/2024
131,1031,Delivered,8/11/2024,11/11/2024
132,651,In Transit,2/12/2024,9/20/2024
133,1866,Delivered,12/22/2024,
134,503,Delayed,10/30/2024,1/22/2025
135,1254,In Transit,10/25/2024,7/4/2024
136,1438,In Transit,2/7/2025,11/12/2024
137,267,Delivered,11/9/2024,5/8/2024
138,1039,Returned,9/13/2024,7/15/2024
139,720,Returned,1/24/2025,7/29/2024
140,1013,Delayed,9/25/2024,
141,1908,Delayed,1/11/2025,10/9/2024
142,1618,Returned,9/11/2024,5/11/2024
143,1573,Delayed,2/19/2024,7/9/2024
144,1872,Delayed,12/27/2024,7/20/2024
145,965,In Transit,7/26/2024,4/22/2024
146,1206,In Transit,8/12/2024,12/11/2024
147,1148,Delayed,2/13/2024,10/23/2024
148,34,Delivered,9/15/2024,10/23/2024
149,661,Delayed,7/15/2024,3/25/2024
150,701,Delivered,1/13/2025,2/13/2024
151,1583,In Transit,8/28/2024,
152,1941,Delivered,6/7/2024,9/14/2024
153,963,Delayed,10/22/2024,1/29/2025
154,168,Delayed,10/27/2024,7/11/2024
155,334,Delivered,7/10/2024,2/6/2025
156,1914,Returned,6/24/2024,12/10/2024
157,1038,Delayed,7/29/2024,3/15/2024
158,532,Returned,6/14/2024,2/25/2024
159,410,Delayed,2/24/2024,10/30/2024
160,633,Delayed,1/20/2025,
161,805,Returned,1/9/2025,11/15/2024
162,1317,Delivered,1/2/2025,4/23/2024
163,96,In Transit,11/1/2024,2/9/2025
164,1103,In Transit,4/5/2024,4/28/2024
165,1369,Delivered,3/24/2024,1/17/2025
166,19,Delayed,3/9/2024,10/13/2024
167,348,Delayed,8/22/2024,2/17/2024
168,763,In Transit,9/9/2024,7/14/2024
169,763,In Transit,3/2/2024,6/16/2024
170,991,Delayed,5/17/2024,3/30/2024
171,882,Delayed,2/9/2025,
172,7,Delivered,12/21/2024,12/14/2024
173,137,In Transit,11/29/2024,
174,846,Delivered,9/27/2024,12/7/2024
175,429,In Transit,9/19/2024,2/28/2024
176,14,Delivered,12/11/2024,9/22/2024
177,370,Delayed,8/13/2024,3/13/2024
178,1989,In Transit,11/10/2024,3/29/2024
179,72,Delivered,10/4/2024,5/16/2024
180,509,Delayed,7/24/2024,9/15/2024
181,162,Delivered,5/9/2024,6/27/2024
182,1537,Delayed,9/8/2024,11/3/2024
183,1314,In Transit,4/2/2024,4/7/2024
184,1409,Delivered,7/6/2024,10/12/2024
185,360,Delivered,11/17/2024,12/8/2024
186,1996,In Transit,11/2/2024,1/21/2025
187,1771,In Transit,2/5/2025,11/13/2024
188,291,In Transit,9/13/2024,6/26/2024
189,638,In Transit,8/12/2024,11/15/2024
190,1573,Delivered,3/8/2024,12/9/2024
191,392,In Transit,3/27/2024,10/25/2024
192,1280,In Transit,7/20/2024,2/23/2024
193,1423,In Transit,9/9/2024,11/3/2024
194,1114,Delivered,1/17/2025,3/14/2024
195,994,In Transit,11/28/2024,12/12/2024
196,497,Delivered,7/8/2024,11/26/2024
197,657,Delayed,12/11/2024,9/16/2024
198,626,Delayed,10/15/2024,5/23/2024
199,1188,Returned,10/30/2024,7/10/2024
200,1379,Delivered,4/22/2024,5/20/2024
201,1256,In Transit,10/29/2024,
202,395,Returned,8/3/2024,9/28/2024
203,758,Returned,2/19/2024,11/5/2024
204,1582,Delivered,10/12/2024,9/19/2024
205,1157,In Transit,9/7/2024,
206,846,In Transit,4/18/2024,9/3/2024
207,666,Delayed,7/22/2024,9/23/2024
208,230,In Transit,10/6/2024,4/16/2024
209,1561,In Transit,11/16/2024,
210,1899,In Transit,9/23/2024,
211,1890,Returned,5/21/2024,6/7/2024
212,427,Delayed,8/21/2024,6/17/2024
213,1242,Delivered,6/30/2024,4/27/2024
214,1764,Delayed,9/17/2024,10/30/2024
215,147,Returned,10/9/2024,6/12/2024
216,419,Returned,12/22/2024,1/17/2025
217,31,Returned,4/17/2024,2/12/2024
218,1140,Delayed,5/16/2024,7/24/2024
219,1706,Returned,10/18/2024,5/16/2024
220,1412,Returned,6/14/2024,8/5/2024
221,917,Delayed,2/5/2025,12/29/2024
222,1058,Delivered,5/16/2024,2/20/2024
223,875,Delivered,6/9/2024,2/25/2024
224,6,Delayed,9/17/2024,4/20/2024
225,1647,In Transit,8/9/2024,2/19/2024
226,1708,Delayed,1/24/2025,10/20/2024
227,1723,Returned,1/24/2025,7/16/2024
228,560,Delivered,11/13/2024,
229,928,In Transit,11/5/2024,5/16/2024
230,819,Returned,6/26/2024,12/23/2024
231,1319,In Transit,5/8/2024,4/3/2024
232,180,Delayed,12/2/2024,
233,627,Delayed,5/26/2024,3/14/2024
234,209,Returned,10/25/2024,1/17/2025
235,597,Delayed,10/11/2024,9/21/2024
236,183,In Transit,9/15/2024,1/4/2025
237,636,Delivered,8/25/2024,10/20/2024
238,835,In Transit,3/12/2024,11/14/2024
239,36,In Transit,3/2/2024,3/13/2024
240,171,Delayed,5/9/2024,7/17/2024
241,550,In Transit,4/6/2024,4/1/2024
242,251,Delivered,6/18/2024,3/13/2024
243,1914,Delayed,6/1/2024,11/9/2024
244,530,Returned,11/9/2024,6/17/2024
245,1104,In Transit,4/14/2024,9/24/2024
246,1643,Returned,3/11/2024,11/15/2024
247,55,Delivered,6/24/2024,
248,62,Returned,3/11/2024,8/8/2024
249,995,Returned,6/22/2024,11/13/2024
250,1930,Delayed,4/26/2024,2/10/2025
251,32,Delivered,9/11/2024,1/23/2025
252,447,Returned,1/13/2025,3/28/2024
253,1055,Returned,9/10/2024,6/21/2024
254,135,In Transit,1/21/2025,1/18/2025
255,1,In Transit,4/26/2024,5/25/2024
256,429,In Transit,6/26/2024,5/26/2024
257,230,Returned,7/13/2024,8/3/2024
258,416,Delayed,9/13/2024,9/26/2024
259,25,Returned,6/18/2024,12/7/2024
260,191,Returned,8/24/2024,6/22/2024
261,27,In Transit,5/23/2024,
262,1805,Delivered,12/8/2024,4/10/2024
263,1122,Returned,5/12/2024,5/18/2024
264,1400,In Transit,2/14/2024,11/15/2024
265,1201,Returned,2/5/2025,4/1/2024
266,1945,Delayed,6/15/2024,9/4/2024
267,1946,In Transit,6/22/2024,6/20/2024
268,824,Returned,3/28/2024,
269,1525,In Transit,11/30/2024,4/21/2024
270,494,Returned,11/17/2024,8/14/2024
271,149,Returned,12/29/2024,11/5/2024
272,1948,Returned,12/8/2024,4/16/2024
273,338,Returned,3/19/2024,7/18/2024
274,510,Delayed,2/19/2024,8/10/2024
275,193,Delayed,10/22/2024,10/15/2024
276,1079,Delivered,1/4/2025,1/24/2025
277,869,Returned,5/13/2024,5/26/2024
278,462,Returned,5/13/2024,4/28/2024
279,133,In Transit,5/9/2024,12/9/2024
280,667,Delivered,9/18/2024,2/25/2024
281,1062,Delivered,2/18/2024,3/28/2024
282,82,Delayed,4/14/2024,7/17/2024
283,154,Delayed,8/9/2024,1/14/2025
284,1521,Returned,10/25/2024,
285,935,Delayed,9/19/2024,9/2/2024
286,1117,Returned,10/22/2024,7/11/2024
287,563,Delayed,12/31/2024,8/3/2024
288,1594,Delayed,1/11/2025,
289,1311,Delayed,6/29/2024,2/15/2024
290,1528,Delivered,5/2/2024,12/13/2024
291,110,In Transit,1/9/2025,10/20/2024
292,1598,Returned,9/11/2024,2/28/2024
293,1687,In Transit,1/12/2025,9/26/2024
294,1862,Delivered,4/17/2024,4/8/2024
295,1885,Delivered,3/7/2024,
296,961,In Transit,1/4/2025,12/5/2024
297,738,Delivered,8/16/2024,6/16/2024
298,1853,Delayed,11/28/2024,6/25/2024
299,390,Returned,11/4/2024,11/4/2024
300,1516,Returned,10/7/2024,7/5/2024
301,1043,In Transit,7/15/2024,6/3/2024
302,477,In Transit,11/20/2024,12/9/2024
303,1693,Delayed,8/2/2024,11/7/2024
304,1582,Returned,5/6/2024,2/7/2025
305,1327,Delayed,8/26/2024,8/3/2024
306,1273,Delayed,12/15/2024,5/31/2024
307,150,In Transit,8/24/2024,11/4/2024
308,576,In Transit,6/16/2024,5/12/2024
309,972,Delivered,9/6/2024,12/27/2024
310,516,Returned,7/1/2024,4/26/2024
311,1162,Delivered,7/18/2024,12/21/2024
312,1149,Returned,7/8/2024,10/18/2024
313,1897,Returned,8/13/2024,3/7/2024
314,1642,Delayed,9/30/2024,1/22/2025
315,1463,Delayed,7/2/2024,8/21/2024
316,1142,Delivered,12/29/2024,8/19/2024
317,142,Delayed,9/25/2024,2/2/2025
318,687,Delayed,9/30/2024,3/18/2024
319,1257,Returned,8/19/2024,12/26/2024
320,190,In Transit,6/1/2024,8/7/2024
321,182,Returned,3/9/2024,10/9/2024
322,230,In Transit,11/7/2024,8/1/2024
323,624,Delivered,1/27/2025,
324,575,Returned,8/28/2024,12/13/2024
325,830,In Transit,3/11/2024,11/20/2024
326,1928,In Transit,7/29/2024,1/20/2025
327,1883,In Transit,3/17/2024,11/16/2024
328,1649,In Transit,6/24/2024,9/20/2024
329,1859,Delivered,7/5/2024,11/14/2024
330,948,In Transit,4/20/2024,9/23/2024
331,183,In Transit,8/7/2024,
332,270,Returned,9/11/2024,
333,586,In Transit,10/24/2024,9/9/2024
334,786,In Transit,4/15/2024,
335,1128,Delivered,2/24/2024,11/13/2024
336,580,In Transit,7/14/2024,9/21/2024
337,1482,Delivered,8/13/2024,
338,805,In Transit,4/21/2024,5/12/2024
339,484,Delivered,8/24/2024,12/15/2024
340,1320,Returned,12/31/2024,10/15/2024
341,783,In Transit,9/8/2024,8/22/2024
342,830,Delayed,6/30/2024,5/27/2024
343,716,Delivered,7/25/2024,8/28/2024
344,236,Delivered,1/5/2025,7/5/2024
345,287,Delivered,10/23/2024,11/3/2024
346,854,Returned,10/7/2024,9/30/2024
347,335,Returned,9/16/2024,
348,1991,Delivered,1/28/2025,12/4/2024
349,1690,In Transit,12/18/2024,4/11/2024
350,1157,Delivered,5/28/2024,3/25/2024
351,355,In Transit,4/27/2024,4/26/2024
352,1421,Delayed,10/25/2024,12/8/2024
353,1837,Delivered,10/8/2024,3/16/2024
354,158,Delayed,2/3/2025,5/27/2024
355,289,In Transit,9/25/2024,12/29/2024
356,1514,Delayed,12/12/2024,4/20/2024
357,161,In Transit,4/11/2024,1/12/2025
358,1544,Returned,9/16/2024,10/20/2024
359,1233,In Transit,2/11/2025,10/18/2024
360,98,Returned,12/21/2024,4/7/2024
361,1036,Returned,12/30/2024,6/22/2024
362,805,Delivered,8/20/2024,
363,617,In Transit,9/22/2024,5/24/2024
364,87,Delayed,9/20/2024,
365,1931,In Transit,6/8/2024,6/23/2024
366,1422,Delivered,8/15/2024,6/6/2024
367,435,Returned,6/20/2024,1/22/2025
368,1893,In Transit,3/3/2024,7/3/2024
369,169,In Transit,8/12/2024,1/26/2025
370,981,Delivered,8/10/2024,2/18/2024
371,942,Delayed,5/9/2024,7/25/2024
372,147,Returned,5/27/2024,7/10/2024
373,1713,In Transit,5/12/2024,
374,1055,In Transit,5/18/2024,9/13/2024
375,410,In Transit,12/24/2024,2/22/2024
376,797,Delivered,7/8/2024,2/12/2024
377,89,In Transit,3/29/2024,1/29/2025
378,295,Returned,12/1/2024,11/2/2024
379,886,Returned,7/12/2024,9/1/2024
380,1675,Returned,3/3/2024,3/24/2024
381,1716,In Transit,2/19/2024,6/17/2024
382,1543,Returned,10/24/2024,3/2/2024
383,373,Returned,12/31/2024,4/22/2024
384,505,In Transit,3/7/2024,8/29/2024
385,59,In Transit,5/11/2024,7/9/2024
386,1226,Delayed,11/13/2024,3/18/2024
387,1027,Delayed,8/7/2024,6/6/2024
388,1080,In Transit,9/21/2024,8/19/2024
389,868,Returned,1/18/2025,4/13/2024
390,1157,In Transit,6/28/2024,5/27/2024
391,529,Delivered,5/29/2024,2/23/2024
392,826,Delivered,10/21/2024,12/17/2024
393,1395,In Transit,1/1/2025,2/28/2024
394,970,Delayed,11/11/2024,7/17/2024
395,1275,Returned,9/29/2024,3/9/2024
396,479,Delayed,10/20/2024,6/5/2024
397,148,Returned,3/22/2024,8/21/2024
398,1050,Delivered,8/7/2024,4/13/2024
399,1291,Delivered,8/31/2024,9/4/2024
400,1311,Returned,5/26/2024,
401,1547,Delivered,11/6/2024,10/17/2024
402,515,In Transit,5/19/2024,7/6/2024
403,1921,In Transit,2/13/2024,2/9/2025
404,1425,Returned,11/19/2024,11/16/2024
405,1128,Delayed,5/31/2024,11/29/2024
406,163,Returned,12/26/2024,7/20/2024
407,1881,Delivered,11/3/2024,10/23/2024
408,1957,Delivered,1/29/2025,8/4/2024
409,1853,Delivered,10/15/2024,12/28/2024
410,556,In Transit,10/15/2024,1/12/2025
411,647,Returned,8/23/2024,6/23/2024
412,1839,Returned,4/16/2024,7/21/2024
413,1000,Returned,12/14/2024,7/28/2024
414,1489,Returned,3/13/2024,4/13/2024
415,917,Returned,2/5/2025,11/18/2024
416,1848,Returned,1/21/2025,11/10/2024
417,1062,Delayed,6/21/2024,7/20/2024
418,1433,Delivered,8/23/2024,12/12/2024
419,1540,In Transit,11/18/2024,5/26/2024
420,258,Returned,7/8/2024,2/28/2024
421,1742,Returned,8/26/2024,9/4/2024
422,1392,Delayed,12/13/2024,3/31/2024
423,1626,Delivered,4/3/2024,8/15/2024
424,1495,Delayed,12/23/2024,3/13/2024
425,1331,Delivered,11/21/2024,8/2/2024
426,1134,Delayed,5/28/2024,8/6/2024
427,174,Delayed,10/8/2024,12/15/2024
428,878,In Transit,12/7/2024,8/10/2024
429,561,Delivered,8/31/2024,1/14/2025
430,1199,Delivered,7/14/2024,9/26/2024
431,373,Returned,11/9/2024,11/1/2024
432,858,Delayed,4/8/2024,8/8/2024
433,313,In Transit,5/18/2024,
434,273,Delivered,12/24/2024,9/26/2024
435,117,Delivered,3/5/2024,3/9/2024
436,1922,Delivered,10/11/2024,3/26/2024
437,171,Delivered,11/3/2024,7/6/2024
438,1675,Delivered,3/7/2024,5/16/2024
439,955,Returned,6/1/2024,1/15/2025
440,311,Returned,6/3/2024,8/23/2024
441,1855,Delivered,7/15/2024,
442,1476,Returned,9/11/2024,2/26/2024
443,1765,In Transit,10/21/2024,
444,313,Delayed,1/3/2025,11/2/2024
445,825,Returned,8/8/2024,12/10/2024
446,1104,Returned,2/1/2025,6/4/2024
447,1267,Delivered,9/27/2024,3/26/2024
448,1701,In Transit,6/19/2024,10/29/2024
449,1075,Returned,1/3/2025,3/9/2024
450,77,Delayed,6/3/2024,1/30/2025
451,1559,Returned,3/23/2024,2/29/2024
452,1892,Delayed,8/19/2024,8/2/2024
453,233,Returned,4/18/2024,9/20/2024
454,1688,Delayed,11/20/2024,11/4/2024
455,484,Delivered,9/27/2024,7/25/2024
456,229,Delayed,10/28/2024,7/30/2024
457,151,Returned,4/11/2024,9/9/2024
458,1906,Delayed,8/5/2024,
459,627,In Transit,7/17/2024,11/19/2024
460,1066,Delivered,1/29/2025,10/16/2024
461,352,Delivered,1/23/2025,2/13/2024
462,1488,Returned,4/4/2024,9/7/2024
463,649,Delivered,6/28/2024,11/16/2024
464,1881,In Transit,11/3/2024,12/31/2024
465,1264,Delivered,3/13/2024,5/26/2024
466,312,In Transit,10/26/2024,4/9/2024
467,1192,Returned,1/20/2025,11/6/2024
468,1206,Delivered,11/20/2024,5/4/2024
469,69,Delivered,12/5/2024,5/23/2024
470,1661,Delayed,10/12/2024,6/27/2024
471,893,Returned,6/17/2024,4/9/2024
472,91,Delivered,12/2/2024,11/28/2024
473,1350,Delivered,9/4/2024,10/23/2024
474,311,In Transit,9/8/2024,10/2/2024
475,787,In Transit,7/26/2024,
476,777,Delivered,12/7/2024,3/7/2024
477,443,Returned,12/31/2024,10/22/2024
478,720,In Transit,10/17/2024,
479,1660,Delayed,5/4/2024,4/15/2024
480,634,In Transit,3/23/2024,1/13/2025
481,996,Returned,8/8/2024,2/1/2025
482,868,In Transit,10/19/2024,
483,972,Delayed,9/26/2024,9/8/2024
484,377,In Transit,6/6/2024,3/22/2024
485,664,Delivered,1/10/2025,
486,1017,Delayed,1/17/2025,
487,1163,Delayed,12/18/2024,3/17/2024
488,451,Delayed,10/5/2024,
489,473,Delivered,6/1/2024,11/24/2024
490,239,Delayed,3/22/2024,6/12/2024
491,651,In Transit,11/19/2024,11/22/2024
492,1029,Delayed,11/24/2024,11/28/2024
493,407,Delayed,12/27/2024,4/5/2024
494,887,In Transit,9/6/2024,
495,935,Returned,8/2/2024,9/28/2024
496,805,In Transit,11/22/2024,
497,1927,Delivered,12/14/2024,10/4/2024
498,155,In Transit,6/23/2024,8/2/2024
499,692,Delayed,10/5/2024,
500,607,Returned,6/24/2024,12/9/2024
501,269,Returned,10/3/2024,8/31/2024
502,1363,Delayed,3/26/2024,6/11/2024
503,404,In Transit,9/12/2024,3/20/2024
504,914,Delivered,7/30/2024,1/12/2025
505,1501,Delivered,5/18/2024,8/27/2024
506,1812,Delivered,2/22/2024,7/17/2024
507,357,Returned,4/24/2024,
508,1592,Delayed,11/19/2024,
509,126,Delayed,1/23/2025,2/26/2024
510,1870,Returned,9/26/2024,4/24/2024
511,569,Delayed,11/25/2024,7/20/2024
512,1220,In Transit,11/15/2024,4/5/2024
513,1825,Delivered,4/13/2024,10/1/2024
514,1051,Delivered,11/13/2024,1/23/2025
515,274,Delivered,9/24/2024,2/17/2024
516,873,Delayed,6/1/2024,3/5/2024
517,1440,Delivered,1/28/2025,
518,555,Delayed,6/18/2024,10/14/2024
519,1798,Returned,6/24/2024,1/7/2025
520,529,Delivered,2/11/2025,
521,753,Delayed,7/23/2024,8/12/2024
522,76,In Transit,10/16/2024,9/8/2024
523,1501,Delayed,10/5/2024,3/8/2024
524,819,Delayed,11/8/2024,7/24/2024
525,1342,Delivered,4/10/2024,
526,619,Returned,3/23/2024,7/27/2024
527,1317,Delayed,10/9/2024,12/19/2024
528,1909,Returned,9/28/2024,1/28/2025
529,785,Returned,7/8/2024,12/6/2024
530,718,Delivered,5/22/2024,10/21/2024
531,170,Delayed,5/5/2024,8/27/2024
532,1373,In Transit,8/5/2024,10/24/2024
533,1258,Returned,12/1/2024,1/1/2025
534,1301,Returned,7/23/2024,8/29/2024
535,1093,Delayed,1/18/2025,2/11/2025
536,1043,Delivered,7/19/2024,4/11/2024
537,774,Returned,3/19/2024,1/12/2025
538,1270,Delivered,7/7/2024,6/9/2024
539,520,In Transit,9/18/2024,10/14/2024
540,320,In Transit,8/16/2024,8/24/2024
541,941,In Transit,12/18/2024,12/27/2024
542,614,Delayed,1/15/2025,12/22/2024
543,827,Delayed,5/4/2024,3/23/2024
544,1688,Delivered,8/17/2024,
545,38,In Transit,2/19/2024,
546,247,Delivered,9/16/2024,10/30/2024
547,1534,In Transit,11/19/2024,
548,1268,Delivered,5/6/2024,1/1/2025
549,1438,Returned,5/26/2024,4/10/2024
550,879,Delayed,3/9/2024,5/11/2024
551,1677,Delayed,5/4/2024,7/11/2024
552,716,Delivered,8/5/2024,9/8/2024
553,541,In Transit,8/8/2024,4/14/2024
554,1065,Returned,5/3/2024,2/4/2025
555,1529,Delivered,2/16/2024,6/5/2024
556,1377,Returned,11/4/2024,4/1/2024
557,895,Delivered,2/7/2025,10/4/2024
558,557,Delivered,6/14/2024,12/23/2024
559,1254,Delivered,3/6/2024,7/7/2024
560,1760,Delayed,9/7/2024,10/11/2024
561,312,Delayed,1/11/2025,2/27/2024
562,412,Returned,8/30/2024,1/4/2025
563,415,In Transit,1/24/2025,5/22/2024
564,565,Delivered,12/25/2024,4/16/2024
565,1599,In Transit,8/16/2024,7/17/2024
566,1078,In Transit,6/20/2024,8/11/2024
567,505,Delayed,5/17/2024,12/10/2024
568,1487,Delivered,2/21/2024,8/10/2024
569,753,Returned,10/11/2024,3/9/2024
570,438,In Transit,4/19/2024,
571,245,Delayed,5/18/2024,5/9/2024
572,1708,Delivered,11/12/2024,3/16/2024
573,1920,In Transit,12/23/2024,4/19/2024
574,198,Delayed,11/23/2024,10/10/2024
575,1413,Delivered,6/18/2024,6/11/2024
576,121,Delivered,3/25/2024,10/18/2024
577,1957,Delivered,8/19/2024,12/17/2024
578,1163,Delayed,1/23/2025,12/23/2024
579,951,Returned,10/15/2024,4/19/2024
580,151,Delivered,12/24/2024,
581,398,Delayed,2/7/2025,8/17/2024
582,568,Returned,3/27/2024,5/6/2024
583,1370,In Transit,7/30/2024,12/21/2024
584,644,Delivered,8/25/2024,10/13/2024
585,1547,Delivered,8/15/2024,10/17/2024
586,1648,In Transit,1/2/2025,6/18/2024
587,1803,Delivered,8/21/2024,3/28/2024
588,1258,Delivered,9/8/2024,1/13/2025
589,97,Returned,12/17/2024,2/8/2025
590,244,Delivered,2/26/2024,11/16/2024
591,1801,Delayed,2/12/2024,1/12/2025
592,681,Returned,2/3/2025,10/8/2024
593,491,Delayed,3/11/2024,10/27/2024
594,940,In Transit,8/25/2024,12/17/2024
595,1986,Delayed,12/11/2024,9/7/2024
596,20,In Transit,5/10/2024,6/3/2024
597,1253,In Transit,3/20/2024,1/8/2025
598,1674,Returned,7/19/2024,12/20/2024
599,1002,In Transit,7/4/2024,12/3/2024
600,1554,Delayed,11/8/2024,10/12/2024
601,1986,In Transit,4/26/2024,3/8/2024
602,154,In Transit,2/2/2025,11/22/2024
603,1898,Delivered,9/6/2024,12/6/2024
604,572,In Transit,9/16/2024,5/31/2024
605,1474,Delivered,10/1/2024,7/5/2024
606,1902,Delayed,12/18/2024,2/15/2024
607,1725,Delayed,11/7/2024,5/10/2024
608,139,Returned,8/26/2024,11/18/2024
609,1322,Delivered,11/17/2024,3/29/2024
610,870,Delayed,2/2/2025,9/7/2024
611,437,Delivered,6/13/2024,6/25/2024
612,389,Delayed,9/18/2024,10/12/2024
613,896,Delayed,7/5/2024,4/24/2024
614,97,Returned,9/15/2024,2/14/2024
615,443,Returned,5/3/2024,6/11/2024
616,285,Returned,10/12/2024,10/22/2024
617,434,Returned,12/23/2024,5/12/2024
